01_prenom;02_genre;03_langage;04_fréquence;05_signification
desislava;f;bulgarian;0;
desmond;m;english, irish;0.06;Homme du monde (celte).
despina;f;greek;0.03;
despoina;f;greek;0;
desta;f;;0;
destinee;f;english (modern);0;
destiny;f;english;0;
desya;m;russian;0;Diminutif de MODESTES.
detlef;m;german;0;"Nom allemand bas signifiant ""héritage des gens(de peuple)"", tiré des éléments Germaniques þ Eud ""les gens""(""le peuple"") et ""héritage"" leib."
detta;m;english;0;
dev;m;indian;0;"Tiré de Sanscrit (deva) signification ""de Dieu""."
devan;m;;0;
devdan;m;indian;0;"signifie ""cadeau des dieux"" de Sanscrit (deva) ""Dieu"" et ""cadeau"" (dana)."
devdas;m;indian;0;Variante du transcription Devadas.
deven;m;english;0;Variante du DEVIN.
devereux;m;english;0.10;"D'un nom de famille anglais, d'origine d'anglo-normand, signifiant ""d'Evreux""."
devi;f;indian, hindu mythology;0.03;
devika;f;indian;0;
devin;m;english, irish;1.62;
devnet;f;irish;0;
devon;m,f;english;0.10;Bœuf (irlandais).
dewayne;m;english (modern);0;Variante de Duane.
dewey;m;welsh;0.41;Forme galloise de DAVID.
dewi;m;welsh;0;Aimé, chéri (hébreu). Prénom breton.
dexter;m;english;0.32;"D'un nom de famille professionnel signifiant ""celui qui teint"" en Vieil anglais."
dezi;m;;0;Diminutif de DESMOND et d'autres noms commençant par un son semblable.
dezirinda;f;esperanto;0;
dhananjay;m;indian;0;"signifie ""richesse(fortune) gagnante"" en Sanscrit."
diamantina;f;portuguese;0;
diamond;f;english;0.06;
diana;f;english, spanish, italian, portuguese, romanian, russian, roman mythology;1.34;Divine (latin).
diane;f;french, english;8.82;Divine (latin).
diann;f;english (modern);0;
dianna;f;english;0;
dianne;f;french, english;0;
diarmad;m;scottish;0;Forme écossaise de Diarmaid.
diarmaid;m;irish, irish mythology;0;"Peut-être signifie ""sans envie"" en irlandais."
diarmuid;m;irish;0;Variante de Diarmaid.
dick;m;english;2.10;Diminutif médiéval de RICHARD.
didi;m;german;1.21;Diminutif de PERSONNE AU RÉGIME.
didier;m;french;1.66;Désiré, attendu (latin).
dido;f;roman mythology;0.03;
diederick;m;german;0;Variante hollandaise de DIEDERIK.
diederik;m;dutch;0;Forme hollandaise de THEODORIC.
diego;m;spanish;1.88;Supplanter, protéger (hébreu).
dierk;m;german;0;Variante de Dirk.
dieter;m;german;0;Gouverneur du peuple (germanique).
dietfried;m;german;0;"signifie ""paix des gens(du peuple)"" des éléments Germaniques þ Eud ""les gens""(""le peuple"") et frid ""paix, protection""."
diethelm;m;german;0.96;"Tiré des éléments Germaniques þ Eud ""les gens""(""le peuple"") et gouvernail ""casque, protection""."
dietlinde;f;german;0;
dietmar;m;german;0;"signifie ""les gens(le peuple) célèbres"", tiré des éléments Germaniques þ Eud ""les gens""(""le peuple"") et meri ""célèbre""."
dietrich;m;german;0.70;Gouverneur du peuple (germanique).
digby;m;english;0.13;"D'un nom de famille qui a été tiré du nom d'une ville anglaise, lui-même tiré d'une combinaison de Vieil anglais dic ""la digue, le fossé"" et le Vieux norrois byr ""la ferme, la ville""."
diggory;m;english;0;Probablement une forme anglicisée de Degaré.
dijana;f;serbian, croatian, slovene;0;
dikeledi;f;african;0;
dilbert;m;literature;0;
dilip;m;indian;0;Transcription moderne de DILIPA.
dillon;m;english;0.25;Variante du Dylan sur la base de l'orthographe du nom de famille, Dillon qui a une origine indépendante.
dilshad;m;;0;
dilwen;f;welsh;0;
dilwyn;m;welsh;0;"signifie ""véritable et blanc"" de l'élément gallois Dilys ""véritable"" combiné avec Gwyn ""blanc, juste, béni""."
dilys;f;welsh;0;
dima;f;arabic, russian;0;
dimitar;m;bulgarian, serbian;0;Forme bulgare et macédonienne de DEMETRIUS.
dimitri;m;russian, french;1.15;Amoureux de la terre (grec).
dina;f;english;0.13;Celle pour laquelle justice a été faite (hébreu).
dinah;f;biblical, english;0.29;"Vient de l'hébreu ""dayyanah"" Signifie: "" procès"" Se fête le 20 mars."
dinesh;m;indian;0;"signifie ""lord(seigneur) de jour"" de Sanscrit (Dina) ""jour"" et ""lord""(""seigneur"") (isha)."
dinh;m;vietnamese;0.06;"signifie ""palais, campement"" en Vietnamien."
dinis;m;portuguese;0;Forme portugaise de DENIS.
dino;m;italian;0.19;Divin (latin).
diodore;m;french;0.06;Forme française de DIODORUS.
diodorus;m;ancient greek (latinized);0;"La forme Latinisée du nom grec (Diodoros) qui a signifié ""le cadeau de Zeus"", tiré des éléments (Dios) la signification ""de Zeus"" et (doron) la signification ""du cadeau""."
diodotus;m;ancient greek (latinized);0;"La forme Latinisée (de Diodotos), un nom grec qui a signifié ""le donneur de Zeus"" (de Dios) la signification ""de Zeus"" et (est gaga) signifiant ""le donneur""."
diogenes;m;ancient greek;0;"signifie ""né de Zeus"" de grec (Dios) signification ""de Zeus"" et (gènes) signifiant ""né""."
diogo;m;portuguese;0;Forme portugaise de DIEGO.
diokles;m;ancient greek;0;"signifie ""gloire de Zeus"" de grec (Dios) signification ""de Zeus"" et (kleos) signification ""de gloire""."
diomedes;m;greek mythology;0;"signifie ""ont pensé à Zeus"" de grec (Dios) la signification ""de Zeus"" et (medomai) la signification ""penser""."
dion;m;french, english;1.15;"Version courte de Dionysios et d'autres noms grecs en commençant par l'élément (Dios) mot grec qui signifie ""de ZEUS""."
dione;f;english;0.06;
dionisio;m;spanish, portuguese;0;Forme portugaise de Denys.
dionne;f;english;0.13;
dionysios;m;greek, ancient greek;0;Nom personnel grec tiré du nom de Dieu grec DIONYSOS.
dionysius;m;ancient roman;0;Forme latine de DIONYSIOS.
dionysodoros;m;ancient greek;0;"signifie ""cadeau de Dionysos"" du nom de Dieu DIONYSOS combiné avec ""cadeau"" (doron) grec."
dionysos;m;greek mythology;1.27;"De grec (Dios) la signification ""de Zeus"" s'est combinée avec (Nysa), le nom d'une montagne légendaire."
dionysus;m;roman mythology;0;Forme latine de DIONYSOS.
dipak;m;indian, hindu mythology;0;Transcription moderne de DIPAKA.
dipali;f;indian;0;
dirk;m;dutch, english;0;Version courte de Diederik.
disgleirio;f,m;welsh;0;
divina;f;english;0.16;
divya;f;indian;0;céleste.
dixie;f;english;0;
diya;m;arabic;0;La transcription Variante du Ziya.
djamila;f;arabic;6.02;D'une grande beauté physique et d'esprit (arabe).
dmitri;m;russian;0.13;La transcription Variante du Dmitriy.
dmitrii;m;russian;0;La transcription Variante du Dmitriy.
dmitriy;m;russian;0;Forme russe de Démétrius.
dmitry;m;russian;0;La transcription Variante du Dmitriy.
dobrogost;m;;0;"Tiré des éléments Slaves dobro ""bon, gentil"" et ""invité"" gost."
dobromil;m;polish, czech;0;"Tiré des éléments Slaves dobro ""bon, gentil"" et Mil ""gracieux, cher""."
dodie;f;english;0;
doina;f;romanian;0;Prénom roumain se rapportant au nom d'un chant traditionnel roumain.
doireann;f;irish;0;
dollie;f;english;0;
dolly;f;english;0.16;Douleur (espagnol).
dolores;f;spanish, english;0.03;Douleur (espagnol).
dolph;m;english;0;Forme abrégée d'Adolph.
dom;m;english;2.17;Forme abrégée de Dominic.
domen;m;slovene;0;Forme slovène de DOMINIC.
domenica;f;italian;2.58;Qui appartient au seigneur (latin).
domenico;m;italian;0.92;Qui appartient au seigneur (latin).
domhnall;m;scottish, irish;0;Forme gaélique de DONALD.
dominga;f;spanish;0;
domingo;m;spanish;0.45;Qui appartient au seigneur (latin).
domingos;m;portuguese;0.03;Forme portugaise de Dominic.
dominic;m;english;0.03;Qui appartient au seigneur (latin).
dominica;f;;0.03;Qui appartient au seigneur (latin).
dominick;m;english;0;Variante du DOMINIC.
dominik;m;czech, russian, polish, german;0;Qui appartient au seigneur (latin).
dominika;f;czech, russian, polish;0;Qui appartient au seigneur (latin). Prénom basque.
dominique;f,m;french;7.30;Qui appartient au seigneur (latin).
domitilla;f;italian;0;
domonkos;m;hungarian;0;Forme hongroise de DOMINIC.
don;m;english;49.12;Puissant gouverneur (celte).
dona;f;english;7.33;"Prénom dérivé de Domna. Vient du latin ""domina"", signifie : ""maîtresse"" Se fête le 28 décembre."
donagh;m;irish;0;La forme Anglicisée de Donnchadh (voir DUNCAN).
donal;m;irish;0;La forme irlandaise moderne de Domhnall (voir DONALD).
donald;m;scottish, english;1.05;Puissant gouverneur (celte).
donalda;f;scottish, english;0;
donaldina;f;scottish;0;
donar;m;germanic mythology;0;Germanique apparenté de Þó rr (voir THOR).
donata;f;italian;0;Présent de Dieu (latin).
donatella;f;italian;0;Présent de Dieu (latin).
donatello;m;italian;0.06;Présent de Dieu (latin).
donatien;m;french;0.51;Présent de Dieu (latin).
donatienne;f;french;0.03;Présent de Dieu (latin).
donato;m;italian, spanish, portuguese;0.10;Présent de Dieu (latin).
donella;f;scottish, english;0;
donelle;f;;0;
dong;m;chinese;1.08;Chine : Est
donna;f;english;32.88;Présent de Dieu (latin).
donnchadh;m;scottish, irish;0;Forme gaélique de DUNCAN.
donnie;m;english;0;Diminutif de DONALD.
donny;m;english;0;Diminutif de DONALD.
donovan;m;irish;0.10;Puissant gouverneur (celte).
dora;f;english;8.70;Don de Dieu (grec).
doran;m;irish, english;0;"D'un nom de famille irlandais qui a été tiré de Ó Deoradháin la signification ""descendent de Deoradhán""."
dorcas;f;biblical, english;0;"Prénom d'origine grecque. Signifie: gazelle"" Se fête le 25 octobre."
dorean;f;irish;0;
doreen;f;english;0;"Prénom dérivé de Dorothée. Vient du grec ""doron et theos"" Signifie : ""cadeau et Dieu"" Se fête le 6 février."
dores;f;portuguese;0;
dorete;f;danish;0;
doretta;f;;0;
dorian;m;english;0.22;Grec (latin).
doriane;f;french;0.03;Grecque (latin).
doriano;m;italian;0;Forme italienne de DORIAN.
dorika;f;hungarian;0;
dorinda;f;english;0;"Prénom dérivé de Dorothée. Vient du grec ""doron et theos"" Signifie : ""cadeau et Dieu"" Se fête le 6 février."
doris;f;english, german;0.22;Grecque (latin).
dorit;f;jewish;0;
dorita;f;;0;"Diminutif espagnol de Salvadora Vient du latin ""salvare"" Signifie ""sauver"" Se fête le 18 mars."
dorofei;m;russian;0;Variante du transcription DOROFEY.
doron;m;jewish;0;"Signifie ""le cadeau"" en grec."
dorota;f;polish, czech;0;
dorotea;f;italian, spanish;0;
dorothea;f;english, german, dutch;0;"Forme germanique de Dorothée. Vient du grec ""doron et theos"" Signifie : ""cadeau et Dieu"" Se fête le 6 février."
dorotheos;m;greek, ancient greek;0;Originale forme grecque masculine de Dorothea.
dorothy;f;english;1.15;Don de Dieu (grec).
dorottya;f;hungarian;0;
dorris;f;english;0;
dortha;f;english;0;
dorthy;f;english;0;
doru;m;romanian;0;"Tiré de roumain dor signification ""de désir""(regret"")."
dory;f;;0.03;"Prénom d'origine arabe. Signifie: ""qui brille d'un vif éclat, fort, robuste"""
dosia;f;;0;
dot;f;english;3.03;
dottie;f;english;0;
dotty;f;english;0.03;
doug;m;english;0.19;Rivière bleue foncée (celte).
dougal;m;scottish, irish;0.10;"La forme Anglicisée du nom Gaélique Dubhghall, qui a signifié ""l'étranger sombre"" de dubh ""sombre"" et la bile ""l'étranger""."
douglas;m;scottish, english;2.99;Rivière bleue foncée (celte).
dov;m;jewish;0;"signifie ""se dirigent"" en l'Hébreu."
dovid;m;jewish;0;Forme yiddish de DAVID.
doyle;m;irish;0.16;"D'un nom de famille irlandais qui a été tiré de Ó Dubhghaill la signification ""descendent de Dubhghall""."
draco;m;ancient greek (latinized);0;"Du nom grec (Drakon) qui a signifié ""le dragon, le serpent""."
dragan;m;serbian, croatian;0;"Tiré de l'élément Slave dorgu signification ""de précieux""."
dragana;f;serbian, croatian;0;
dragica;f;serbian, croatian, slovene;0;
dragomir;m;serbian, croatian, romanian, bulgarian;0;"signifie ""précieux et paisible"" de l'élément Slave dorgu signification ""de précieux"" combiné avec mir signification ""de paix"" ou ""monde""."
dragos;m;romanian;0;Variante du DRAGO.
drake;m;english;0.61;"D'un nom de famille anglais tiré du Vieux norrois nom donné Draki ou le Vieil anglais nom donné Draca les deux signification ""dragon""."
draven;m;english;0;
dreda;f;english;0;
drew;m;english;0;Courageuse
drina;f;;0;
driscoll;m;english, irish;0;"D'un nom de famille irlandais qui était une forme Anglicisée de Ó Eidirsce ó Il la signification ""descendent du messager""."
driskoll;m;english, irish;0;Variante du DRISCOLL.
drogo;m;english;0;"Le nom normand, probablement tiré de dragen (Gothique) Germanique ""pour porter"" ou ""le fantôme"" drog (Saxon) Germanique."
drummond;m;;0.03;"D'un nom de famille écossais qui a été tiré d'un nom d'endroit(de place) signifiant ""l'arête"" en gaélique."
drusilla;f;biblical, ancient roman;0;Personnage biblique du nouveau testament.
drystan;m;welsh;0;Forme galloise de Tristan.
dua;f;arabic;0.13;
duana;f;english;0;
duane;m;english, irish;0.10;"D'un nom de famille irlandais, une forme Anglicisée du nom de famille Gaélique Ó Dubhán signification ""descendent de DUBH…N""."
duarte;m;portuguese;0;Forme portugaise de EDWARD.
dubaku;m,f;african;0;
dubhghall;m;irish, scottish;0;D'origine sous forme gaélique de DOUGAL.
dubhghlas;m;irish, scottish;0;D'origine sous forme gaélique de DOUGLAS.
duc;m;vietnamese;21.50;
duci;f;hungarian;0;
dudel;m;jewish;0;Diminutif de DAVID yiddish.
dudley;m;english;0.22;
duff;m;scottish;1.15;"Tiré de Gaélique dubh signification ""de sombre""."
dugald;m;scottish;0.03;Variante écossaise de DOUGAL.
duha;f;arabic;0;
duilio;m;italian;0;"Du nom romain Duilius, qui est probablement tiré du latin duellum ""la guerre""."
duke;m;english;0.67;"Du duc de titre noble, qui a été à l'origine tiré du latin dux ""le leader""."
dulcibella;f;english;0;
dulcie;f;english;0;"Prénom dérivé de Douceline. Vient du latin ""dulcis"", signifie: ""doux"" Se fête le 1er septembre."
duleep;m;indian;0;Variante du Dilip.
dumitru;m;romanian;0;Forme roumaine de Démétrius.
duncan;m;scottish, english;0.48;Tête brune (celte).
dung;m;vietnamese;0;
dunja;f;serbian, croatian, slovene;0;
dunstan;m;english;0;"Des Vieux éléments anglais harcèlent ""sombre"" et Stan ""la pierre""."
dunya;f;russian;0;
dunyasha;f;russian;0;
duong;m;vietnamese;0;
durand;m;;1.47;
durga;f;indian, hindu mythology;0;
durward;m;english;0.03;"D'un nom de famille professionnel qui a signifié ""la garde de porte"" en Moyen anglais."
dusan;m;czech, serbian, croatian, slovak;0;"Tiré de dusha Slave signification ""âme, esprit(alcool)""."
dustin;m;english;0.10;"Nom de famille signifiant ""pierre de Thor"" (scandinave)."
dusty;m,f;english;0;
duygu;m;turkish;0;
dvorah;f;jewish;0;
dwayne;m;english, irish;0;Variante de Duane.
dwight;m;english;0.19;D'un nom de famille anglais qui a été tiré du nom féminin médiéval Diot, un diminutif de Dionysia, la forme féminine de DIONYSIUS.
dwyn;m;celtic mythology;0;Signification d'inconnu. Ceci était le nom de Dieu celtique d'amour.
dyan;f;english (modern);0;
dylan;m;welsh, english, welsh mythology;0.57;Mer (gallois).
dylis;f;welsh;0;
dymphna;f;irish;0;
dympna;f;irish;0;
eachann;m;scottish, irish;0;"signifie ""cheval brun"" de Gaélique chaque ""cheval"" et Donn ""brun""."
eadan;f;irish;0;
eadburga;f;anglo-saxon;0;
eadwig;m;anglo-saxon;0;
ealasaid;f;scottish;0;
ealisaid;f;manx;0;
eallair;m;scottish;0;"Du surnom Gaélique plus vieux Ceallair, qui a été tiré du latin cella la signification ""de la cave""."
eamon;m;irish;0;Variante de Eamonn.
ean;m;manx;0;Manx forme de JOHN.
eanraig;m;scottish;0;Écossaise forme gaélique de HENRY.
earl;m;english;0.22;"Du titre aristocratique, qui provient du Vieil anglais eorl ""le noble, le guerrier""."
earle;m;english;0;Variante de l'EARL.
earleen;f;english;0;
earlene;f;english;0;
earline;f;english;0;
earnest;m;english;0.03;
earnestine;f;english;0;
eartha;f;english;0;
easter;m,f;english;0;
eavan;f;irish;0;
ebba;f;english, german;0;
ebbe;m;german, scandinavian;0;"Diminutif d'EBERHARD et d'autres noms commençant par l'élément Germanique eber signification ""de sanglier""."
eben;m;;0;Forme abrégée d'Ebenezer.
ebenezer;m;biblical, english;0;"signifie ""pierre d'aide"" en Hébreu."
eber;m;irish;0;Vieille forme irlandaise d'ÉIBHEAR.
eberardo;m;spanish;0;Forme espagnole de EVERARD.
eberhard;m;german;0;Forme allemande d'EVERARD.
ebert;m;;0.03;
ebony;f;english;0;
ebrahim;m;indian;0;Forme iranienne d'ABRAHAM.
ecaterina;f;romanian;0;
ece;f;turkish;0.13;
echo;f;greek mythology;0.10;
eckbert;m;german;0;Allemand apparenté d'EGBERT.
eckehard;m;german;0;Variante du EKKEHARD.
eckhard;m;german;0.03;Variante du EKKEHARD.
ed;m;english;1.94;Version courte de EDWARD, EDMUND, et les autres noms commençant par Ed.
edan;m;irish, scottish;0;Variante du AIDAN.
edana;f;;0;
edda;f;italian;0.06;Nom de deux manuscrits rassemblant les récits des combats et prouesses des héros de la mythologie nordique. Ces manuscrits (l'ancien et le nouvel Edda )sont apparus vers l'an 1300.
eddie;m,f;english;5.26;Diminutif des prénoms assemblés avec Ed.
eddy;m;english;0.48;Diminutif des prénoms assemblés avec Ed.
edelmira;f;spanish;0;
eden;f;biblical, english;6.18;Paradis (hébreu).
edgar;m;english, french;3.60;Lance sacrée (germanique).
edgard;m;french;0.03;Forme française d'EDGAR.
edgardo;m;spanish;0;Forme espagnole de EDGAR.
edie;f;english;0;
edina;f;hungarian;0;
edison;m;english;0.83;"D'un nom de famille anglais qui a signifié ""le fils d'EDA"" ou ""le fils d'ADAM""."
edit;f;hungarian;0;
edita;f;czech, slovene;0;
edite;f;portuguese;0;
edith;f;english;0.06;Prospère, combat (germanique).
edmond;m;french;3.47;Riche protecteur (germanique).
edmonda;f;;0;
edmondo;m;italian;0;Riche protecteur (germanique).
edmund;m;english, german;0.89;Riche protecteur (germanique).
edmundo;m;spanish, portuguese;0.06;Riche protecteur (germanique).
edna;f;irish, scottish, biblical;0;Une amande (irlandais). Rajeunissement (hébreu).
edoardo;m;italian;0;Forme italienne d'EDWARD.
edom;m;biblical;0;"signifie ""rouges"" en Hébreu."
edric;m;english;0;"De Vieil anglais ead ""riche, béni"" et ""dirigeant""(""règle"") ric."
edsel;m;;0;Variante du ETZEL notamment pris en charge par Edsel Ford (1893-1943), le fils de l'industriel américain Henry Ford.
eduard;m;german;0.32;Gardien sacré (anglais). Prénom basque.
eduarda;f;portuguese;0;
eduardo;m;spanish, portuguese;0.41;Gardien sacré (anglais).
edurne;f;basque;0;
edvard;m;scandinavian, hungarian, russian, slovene;0.03;Gardien sacré (anglais).
edvige;f;italian;0;Richesse, combat (germanique).
edward;m;english, polish;3.15;Gardien sacré (anglais).
edweena;f;english;0;
edwena;f;english;0;
edwige;f;french;0.19;Richesse, combat (germanique).
edwin;m;english;0.22;Riche ami (anglais).
edwina;f;english;0;Riche amie (anglais).
edwyn;m;english;0;Variante du EDWIN.
edwyna;f;english;0;
edyta;f;polish;0;
edytha;f;english;0;
edythe;f;english;0;
eerikki;m;finnish;0;Forme finlandaise d'ERIC.
eero;m;finnish;0;Forme finlandaise d'ERIC.
eetu;m;finnish;0;Forme finlandaise d'EDWARD.
eeva;f;finnish;0;
effie;f;scottish, english;0.06;
efisio;m;italian;0;Du surnom latin Ephesius, qui a à l'origine appartenu à une personne qui était de la ville d'Ephesus en Ionia.
efraim;m;jewish, biblical (variant);0;Variante d'Éphraïm.
efstathios;m;greek;0;Forme grecque moderne d'EUSTATHIOS.
efua;f;african;0;
egbert;m;english;0;"signifie ""bord brillant"" des Vieux éléments anglais ecg ""bord d'une épée"" et beorht ""brillant""."
egidio;m;italian;0.03;Forme portugaise d'Aegidius (voir GILES).
egil;m;scandinavian;0;"Du Vieux norrois nomment Egill, un diminutif des noms qui ont commencé par l'élément agi ""la crainte, la terreur""."
eglantine;f;english;0;Nom de fleur à épines (latin).
egon;m;german;0.06;"Tiré de l'élément Germanique eg, qui signifie ""le bord d'une épée""."
ehud;m;biblical, jewish;0;"signifie ""unis"" en Hébreu."
eideard;m;scottish;0;Forme écossaise de EDWARD.
eidel;f;jewish;0;
eileen;f;irish, english;0.06;Eclat de soleil (grec).
eilert;m;frisian, scandinavian;0;Forme frisonne et scandinave d'EGILHARD.
eilidh;f;scottish;0;
eilish;f;irish;0;
eiluned;f;welsh;0;
eilwen;f;welsh;0;
eimhir;f;scottish;0;
einar;m;scandinavian;0;"Du Vieux norrois nomment Einarr, tiré des éléments ein ""un, seul"" et ""le guerrier"" arr."
einion;m;welsh;0;"Signifie ""l'enclume"" en gallois."
eira;f;welsh;0;
eiran;m;;0;Forme hébraïque d'ERAN.
eireann;f;english, irish;0;
eireen;f;english, irish;0;
eirene;f;greek mythology, ancient greek;0;
eirian;f;welsh;0;
eirik;m;norwegian;0;La forme norvégienne d'Eir í Kr (voir ERIC).
eirlys;f;welsh;0;
eirwen;f;welsh;0;
eitan;m;jewish;0;Forme hébraïque d'ETHAN.
eithne;f;irish, scottish;0;
ekaterina;f;russian, bulgarian, macedonian;0;
ekewaka;m;hawaiian;0;Forme hawaïenne d'EDWARD.
ekin;f;turkish;0;
ekkehardt;m;german;0;Variante du EKKEHARD.
ekua;f;african;0;
ekwueme;m;african;0;"signifie ""il dit, il fait"" en Igbo."
eladio;m;spanish;0;Propriété (latin). Prénom basque.
elain;f;welsh;0;
elaine;f;english;0;"Forme anglo-saxonne d'Hélène. Vient du grec ""helê"" Signifie : ""éclat du soleil"" Se fête le 18 août."
elario;m;;0;Variante du ILARIO.
elba;f;;0;
elbert;m;;0;Variante hollandaise d'ADELBERT.
elda;f;italian;0;
elder;m;portuguese;0.03;Variante du Helder.
eldon;m;english;0;
eldred;m;english;0;D'un nom de famille anglais qui a été tiré d'EALDR Æ D.
eldreda;f;english;0;
elea;f;english;0;honneur. Celte.
eleanor;f;english;0.06;Compassion (grec).
eleanora;f;english;0;
eleanore;f;english;0;Compassion (grec).
eleazar;m;biblical;0;Le seigneur est mon Dieu (hébreu).
electra;f;greek mythology (latinized);0.06;
eleftheria;f;greek;0;
eleftherios;m;greek;0;La forme grecque moderne d'Eleutherios (voir ELEUTHERIUS).
elek;m;hungarian;0;Forme hongroise d'ALEXIS.
elen;f;welsh;0;Éclat du soleil (grec).
elena;f;italian, spanish, russian, bulgarian, romanian, macedonian;0.32;Éclat du soleil (grec).
elene;f;greek;0;
eleni;f;greek;0;
elenora;f;english;0;
eleonoora;f;finnish;0;
eleonor;f;english;0.03;Compassion (grec).
eleonora;f;italian;0.03;Compassion (grec).
eleonore;f;german;0;Compassion (grec).
eleri;f;welsh;0;
elettra;f;italian;0;
eleuterio;m;spanish, portuguese;0;Forme espagnole et portugaise de Eleuthère.
eleutherius;m;ancient greek (latinized);0;"La forme Latinisée du nom grec (Eleutherios) qui a signifié ""libre""(""gratuit"")."
elfa;f;;0;
elfleda;f;english;0;
elfreda;f;english;0;
elfrida;f;english;0;
elfriede;f;german;0;
eli;m;jewish, english, biblical;0;Le seigneur est mon Dieu (hébreu).
elia;m;italian;0;Le seigneur est mon Dieu (hébreu).
elian;m;spanish;0;Le seigneur est mon Dieu (hébreu).
eliana;f;italian, spanish;0.03;Voir Éliane.
elias;m;greek, spanish, portuguese, finnish, hungarian;0.03;Le seigneur est mon Dieu (hébreu).
elicia;f;english;0;
elidi;f;;0;
eliezer;m;biblical;0;"Prénom d'origine hébraïque. Signifie: ""Dieu a secouru"" Se fête le 1er août."
eligia;f;italian, spanish;0;
eligio;m;italian, spanish;0;Forme italienne et espagnole d'ELIGIUS.
elihu;m;biblical;0.03;"signifie ""mon Dieu sont YAHWEH"" en l'Hébreu."
eliina;f;finnish;0;
eliisa;f;finnish;0;
elijah;m;english, jewish, biblical;0;Dieu est Dieu (hébreu).
elikapeka;f;hawaiian;0;
elin;f;scandinavian;0;
elina;f;finnish;0;Divine (hébreu).
elinor;f;english;0;"Diminutif d'Eléonore. Vient du grec ""el et enor"" Signifie : ""richesse et honneur"" Se fête le 25 juin."
eliot;m;english;0.25;Le seigneur est mon Dieu (hébreu).
eliott;m;english;0;Le seigneur est mon Dieu (hébreu).
eliphalet;m;biblical (variant);0;Variante du Éliphéleth utilisés en certaines versions de l'Ancien Testament pour désigner le fils de David.
eliphelet;m;biblical;0;"signifie ""Dieu sont la sortie"" en l'Hébreu."
elisa;f;english, german, italian;0.10;Dieu est serment (hébreu).
elisabet;f;scandinavian;0;
elisabeta;f;romanian;0;
elisabeth;f;english, german, french, scandinavian, biblical (variant);0.54;Dieu est serment (hébreu).
elisabetta;f;italian;0.03;"Vient de l'hébreu ""elîsaba"" Signifie : ""Dieu est plénitude"". Se fête le 17 novembre."
elisavet;f;greek;0;
elisaveta;f;macedonian;0;
elise;f;english;0.06;Dieu est serment (hébreu).
eliseo;m;italian, spanish;0;Le seigneur est mon Dieu (hébreu). Prénom basque.
elisha;m;biblical;0.06;"Prénom dérivé d'Elisabeth. Vient de l'hébreu ""elîsaba"" Signifie : ""Dieu est plénitude"". Se fête le 17 novembre."
elisheba;f;biblical;0;
elisheva;f;jewish;0;
elissa;f;roman mythology, english;0;Dieu est serment (hébreu).
elisud;m;welsh;0;
elita;f;;0;
eliud;m;biblical;0;"La forme grecque d'un nom hébreu signifiant ""Dieu est la splendeur""."
eliyahu;m;jewish;0;Variante du transcription ELIYYAHU.
eliza;f;english;0;"Diminutif d'Elisabeth. Vient de l'hébreu ""elîsaba"" Signifie : ""Dieu est plénitude"". Se fête le 17 novembre."
elizabeta;f;slovene;0;
elizabeth;f;english, biblical;0.45;Dieu est serment (hébreu).
elizaveta;f;russian;0;
elkan;m;jewish;0;Variante moderne d'ELKANAH.
elkanah;m;biblical;0;"signifie ""Dieu ont acheté"" en l'Hébreu."
elke;f;dutch, frisian, jewish;0;Noble (germanique).
ella;f;english;0.06;Éclat du soleil (grec).
ellar;m;scottish;0;Forme Anglicisée d'EALLAIR.
elle;f;english;4870.31;
ellen;f;english;0.41;Éclat du soleil (grec).
ellery;m,f;english;0.06;D'un nom de famille anglais qui a été à l'origine tiré du nom masculin médiéval HILARY.
elli;f;german, finnish;0;
ellie;f;english;0;Éclat du soleil (grec).
elliot;m;english;0.19;Le seigneur est mon Dieu (hébreu).
elliott;m;english;0.19;Le seigneur est mon Dieu (hébreu).
ellis;m;english, welsh;0;D'un nom de famille anglais qui a été tiré du nom donné ELIJAH.
elly;f;english;0;
elma;f;;0;"Vient du germain ""helm"" Signifie: ""heaume, casque"" Se fête le 15 avril."
elmas;f;turkish;0;
elmer;m;english;0.10;Noble, fameux (anglo-saxon).
elmira;f;english;0.06;"Forme féminine d'Elmer. Vient du germain ""helm et mar"" Signifie: ""casque et célèbre"". Se fête le 28 août."
elmo;m;italian;0;"A l'origine une forme courte de noms germaniques qui a commencé avec la barre sens l'élément «casque, une protection""."
elnathan;m;biblical;0;"signifie ""Dieu ont donné"" en l'Hébreu."
elnora;f;english;0;
elodia;f;spanish;0;
elof;m;swedish;0;"Du Vieux norrois nomment Eileifr, qui a été tiré des éléments ei ""jamais"" et ""l'héritier"" leifr."
eloi;m;french;0;Élu (latin).
eloisa;f;italian, spanish;0;
eloise;f;english;0;Illustre au combat (germanique).
elouise;f;english;0;
elov;m;swedish;0;Variante du Elof.
eloy;m;spanish;0;Élu (latin).
elpida;f;greek;0;
elpidio;m;italian, spanish, portuguese;0;Italien, forme espagnole et portugaise d'ELPIDIUS.
elpidius;m;late roman;0;"La forme Latinisée du nom grec (Elpidios), qui a été tiré (d'elpis) ""l'espoir""."
elpis;f;ancient greek;0;
elric;m;english;0;La forme médiévale du Vieil anglais nomme Æ LFRIC ou Æ Ð ELRIC.
elrond;m;literature;0;"signifie ""dôme d'étoile(de star)"" en Sindarin."
